,group1,group2,group3,group_names,colors,xrange,outliers,errorbars,mri,exc,Total.Mass,Lean.Mass,Fat.Mass
1,5605wt,5607h,5606ko,WT,#B3ACAC,144,Yes,Yes,Yes,238,27.3,22.96,3.85
2,5618wt,5608h,5613ko,HET,#3FAAF2,165,NA,NA,NA,238,29.8,23.63,4.95
3,5621wt,5619h,5628ko,KO,#0B45B3,NA,NA,NA,NA,238,26.4,20.78,4.26
4,5633wt,5629h,5672ko,NA,NA,NA,NA,NA,NA,238,28.5,23.11,4.38
5,5674wt,5636h,5678ko,NA,NA,NA,NA,NA,NA,238,27.2,22.08,4.3
6,5680wt,5670h,5679ko,NA,NA,NA,NA,NA,NA,238,25.6,21.34,3.5
7,5684wt,5671h,5681ko,NA,NA,NA,NA,NA,NA,238,29.1,23.4,4.85
8,5685wt,5686h,5687ko,NA,NA,NA,NA,NA,NA,238,26.4,21.49,3.45
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.9,23.22,3.93
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,22.7,18.57,3.69
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,30.3,23.43,5.97
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,21,17.16,2.16
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,26.3,21.4,3.91
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,28.5,23.18,3.7
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,22.3,18.83,2.38
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.7,22.37,4.03
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,26.2,20.67,5.18
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,21.1,17.53,2.38
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.4,22.59,3.93
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,29.2,23.98,4.33
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,24.5,19.74,3.42
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,27.8,22.95,3.63
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,27.4,21.53,4.71
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,25.6,20.14,3.94